"YEAR","COUNTRY","LOCATION","LAT","LON","REMARKS","CODE","SEVERITY"
2005,"Colombia","	Isla de San Andr_s(Caribbean Sea)",12.466,-81.65,"Reef zones that were affected: 	Reef flat, reef crest, lagoon, slope, terrace, coral carpet.<br>

Percentage of live coral cover in the area : 	5-45%<br>

	Percentage of live coral that is bleached : 	1-20%<br>

Other observations: 	The top of massive colonies are bleaching mainly in shallow-intermediate depths (<15 m). High levels of bleaching for Agaricia species (50%) in deep reefs (> 20 m depth). <br>

	We also obtained data on bleaching prevalence and marked many colonies for monitoring, but results will be available later.","COL","HIGH"
2005,"Colombia","	Parque Tayrona(Caribbean Sea)",11.25,-73.95,"Date of observation: September 26- October 13, 2005.<br>

Percentage of live coral cover in the area: 	5-60%<br>

Reef zones that were affected: 	Fringing reefs<br>

No bleaching was observed in the area.<br>



Other: 	Colonies of Agaricia species are bleaching in deep reefs (>20 m).","COL","HIGH"
2002,"Torres Strait & Great Barrier Reef","(Big) Broadhurst Reef (No 2)",-18.9103,147.745,NA,"AUS","HIGH"
2007,"Australia","18095 - Wheeler",-18.79,147.52,"Average Hard coral: 90% Soft coral: 10%

Bleached Hard coral: 0% Soft coral: 0%","AUS","HIGH"
2006,"Australia","19131, Southern Great Barrier Reef",-19.77,149.38,NA,"AUS","HIGH"
2006,"Australia","19131, Southern Great Barrier Reef",-19.77,149.38,NA,"AUS","HIGH"
2006,"Australia","19138, Southern Great Barrier Reef",-19.81,149.43,NA,"AUS","HIGH"
1998,"Somalia","1km west of Raas Cuuda",10.7898,45.979,"Most coral was dead in obs during Mar 99, related to bleaching","SOM","HIGH"
2000,"South Africa","2 Mile Reef, Sodwana Bay",-27.526,32.688,"During summer (December) , relatively low numbers of coral taxa (9) and coral colonies (89) were bleached (Table). The soft coral Sarcophyton was the taxon most susceptible to bleaching with 100% colonies severely bleached (71_100% surface area of individual colonies bleached). However, no mortalities of these colonies were recorded. The majority of the remaining taxa were only slightly

bleached (1_30% of individual colonies bleached).

<a href=""http://www.reefbase.org/threats/images/2_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>","ZAF","HIGH"
2001,"South Africa","2 Mile Reef, Sodwana Bay",-27.526,32.688,"In contrast to summer (Dec 2000), many more coral taxa and coral colonies were recorded bleached during late summer (march 2001)(21 and 290, respectively) and winter (Sept/Oct 2001) (25 and 557, respectively) (Table). Although the majority of the affected taxa were

recorded in the severely bleached category, mortality was low. Porites was highly susceptible to bleaching, with 75% of the bleached colonies being 71_100% bleached. Of the Alcyonacea, Sarcophyton was the most susceptible taxon to bleaching, with 88% of bleached colonies being severely bleached. Although more coral taxa were bleached during winter than during late summer, there was a marked reduction in the number of taxa that were severely bleached

(Table). However, more taxa suffered mortalities during winter compared to late summer. Sarcophyton was again the most susceptible taxon to bleaching, with 60% of the bleached colonies being severely bleached. 

<a href=""http://www.reefbase.org/threats/images/2_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>","ZAF","HIGH"
2001,"South Africa","2 Mile Reef, Sodwana Bay",-27.526,32.688,"In contrast to summer (Dec 2000), many more coral taxa and coral colonies were recorded bleached during late summer (March 2001)(21 and 290, respectively) and winter (Sept/Oct 2001) (25 and 557, respectively) (Table). Although the majority of the affected taxa were

recorded in the severely bleached category, mortality was low. Porites was highly susceptible to bleaching, with 75% of the bleached colonies being 71_100% bleached. Of the Alcyonacea, Sarcophyton was the most susceptible taxon to bleaching, with 88% of bleached colonies being severely bleached.  

<a href=""http://www.reefbase.org/threats/images/2_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>","ZAF","HIGH"
2006,"Australia","20140, Southern Great Barrier Reef",-20.03,149.69,NA,"AUS","HIGH"
2006,"Australia","20140, Southern Great Barrier Reef",-20.03,149.69,NA,"AUS","HIGH"
2006,"Australia","21529, Far Southern Great Barrier Reef",-21.87,152.19,NA,"AUS","HIGH"
2006,"Australia","21529, Far Southern Great Barrier Reef",-21.87,152.19,NA,"AUS","HIGH"
2000,"South Africa","5 Mile Reef, Sodwana Bay",-27.478,32.7017,"Sarcophyton was the most susceptible and frequently encountered bleached taxon during summer, with 46% of its colonies recorded as 100% bleached (Table).

<a href=""http://www.reefbase.org/threats/images/5_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>","ZAF","HIGH"
2001,"South Africa","5 Mile Reef, Sodwana Bay",-27.478,32.7017,"Sixteen coral taxa were bleached during late summer (March 2001) (Table). The majority of taxa affected during late summer had colonies that were only slightly or moderately bleached (0_70%), with no mortalities being recorded. The faviids comprised a quarter of the bleached taxa, but the majority of colonies were only slightly bleached. In contrast, Lobophytum appeared to be highly susceptible to bleaching, with 75% of colonies severely affected (71_100%).

<a href=""http://www.reefbase.org/threats/images/5_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>","ZAF","HIGH"
2001,"South Africa","5 Mile Reef, Sodwana Bay",-27.478,32.7017,"Many coral taxa were bleached during winter (24) compared to summer.  The majority of bleached taxa during winter were only slightly

bleached (Table). However, this was the only season in which mortalities were recorded. Most of the bleached taxa were in the Faviidae, but the taxa with the largest proportions of colonies severely bleached were in the Acroporidae. Although no dead Sarcophyton colonies were recorded, fewer live and bleached colonies were seen on the reef during winter, possibly because colonies had died, even

though no remains were observed.

<a href=""http://www.reefbase.org/threats/images/5_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>","ZAF","HIGH"
2000,"Belize","7 Cut The Trench Deep (WP15)",16.72263,-88.07225,NA,"BLZ","HIGH"
2000,"Belize","7 Cut The Trench Shallow (WP15)",16.72345,-88.07413,NA,"BLZ","HIGH"
2000,"South Africa","7 Mile Reef, Sodwana Bay",-27.478,32.7017,"Only five coral taxa were bleached during summer on 7-MR (Table).

Montipora was the most affected taxon, with 50% of the bleached colonies recorded as dead. This was the only taxon in which mortality was observed during summer.

<a href=""http://www.reefbase.org/threats/images/7_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>","ZAF","HIGH"
2001,"South Africa","7 Mile Reef, Sodwana Bay",-27.478,32.7017,"Sixteen coral taxa were bleached during late summer (Table). The majority of taxa affected during late summer had colonies that were

only slightly or moderately bleached (0_70%), with no mortalities being recorded. The faviids comprised a quarter of the bleached taxa, but the majority of colonies were only slightly bleached. In contrast, Lobophytum appeared to be highly susceptible to bleaching, with 75% of colonies severely affected (71_100%).

<a href=""http://www.reefbase.org/threats/images/7_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>","ZAF","HIGH"
2001,"South Africa","7 Mile Reef, Sodwana Bay",-27.478,32.7017,"During winter, the majority of bleached corals had a high proportion of only slightly bleached colonies (Table 3) and four taxa suffered mortalities. The Alcyonacea were highly susceptible to bleaching as two out of the three bleached taxa (Lobophytum and Sinularia ) were recorded with mortalities.

<a href=""http://www.reefbase.org/threats/images/7_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>","ZAF","HIGH"
1998,"New Caledonia","Abore Reef",-22.43,166.37,"0","NCL","HIGH"
1998,"Australia","Abrolhos Islands",-28.6833,113.8333,"no bleaching","AUS","HIGH"
1998,"Brazil","Abrolhos Reefs ( Abrolhos  Archipelago )",-17.66666667,-38.5," Moderate bleaching","BRA","HIGH"
1998,"Brazil","Abrolhos Reefs, Brazil",-17.785,-39,"90% of Mussismilia hispida bleached, 80% Agaricia agaricites and 70% Siderastrea stellata bleached.","BRA","HIGH"
1998,"United Arab Emirates","Abu Dhabi",24.45,54.3833,"extensive ","ARE","HIGH"
1996,"United Arab Emirates","Abu Dhabi",24.45,54.3833,"extensive","ARE","HIGH"
1996,"Bahrain","Abul Thalma",26.275,50.94,"One third of coral belached, one third was in the process of recovering and the remaining one third was being colonized or had recently been colonized by algae (dead).

Acropora arabensis - most coral are in the prosecc of recovery.

A. clathata - Some coral bleached, others were partially or totally pigmented. 

Pocillopora damicornis - all coral bleached

Platygyra daedalea - none bleached

Porites lobata - all coral bleached

Favia pallida - All coral bleached","BHR","HIGH"
1996,"Bahrain","Abul Thama",26,50.5,"33% bleaching","BHR","HIGH"
1998,"Bahrain","Abul Thama",26.9029,50.9448,"50%","BHR","HIGH"
1998,"Bahrain","Abul Thama",26.89,50.97,"5","BHR","HIGH"
1998,"Ecuador","Academy Bay, Santa Cruz Island",-0.8947,-90.4097,"100% bleached","ECU","HIGH"
1998,"Torres Strait & Great Barrier Reef","Acheron Is, north",-18.96535,146.62979,"80-90% bleached","AUS","HIGH"
1998,"Torres Strait & Great Barrier Reef","Acheron Is, north",-18.96535,146.62979,"80-90% bleached","AUS","HIGH"
1998,"Torres Strait & Great Barrier Reef","Acheron Is, south",-18.96535,146.62979,"70-80% bleached","AUS","HIGH"
1998,"Torres Strait & Great Barrier Reef","Acheron Is, south",-18.96535,146.62979,"70-80% bleached","AUS","HIGH"
2002,"Torres Strait & Great Barrier Reef","Acheron Reef",-18.9638,146.6309,NA,"AUS","HIGH"
1997,"Thailand","Adang Island ( Ko Adang )",6.5303,99.2767,"Observed along the western and eastern reefs of Adang.","THA","HIGH"
1997,"Thailand","Adang Island ( Ko Adang )",6.533333333,99.28333333,"Extent Unspecified; Observed along the western and eastern reefs of Adang.","THA","HIGH"
1987,"Maldives","Addu Atoll ( Seenu Atoll )",0.7,73.18333333,"Extent Unspecified; Occurring at all depths.","MDV","HIGH"
1998,"Maldives","Addu Atoll ( Seenu Atoll )",0.7,73.18333333,"Moderate bleaching","MDV","HIGH"
2003,"Maldives","Addu atoll, Hithadhoo reef, Vilingili reef",-0.69,73.183,"Percentage of live coral cover in the area is 50-60% and Percentage of live coral that is bleached is 10%.

Live coral cover is extremely high compared to other sites, atolls. Reported cold water currents/circulation around this time (according to the dive school instructor). 

The extent of bleaching is not as severe as that of 1998, at the same time it is noteworthy that this is of significant event since 1998. April/may has always been the hottest months here in Maldives but this bleaching was seen as a delayed response to temperature peak here.","MDV","HIGH"
2002,"Torres Strait & Great Barrier Reef","Adelaide Reef",-17.6554,146.4662,NA,"AUS","HIGH"
1998,"Torres Strait & Great Barrier Reef","Adelaide Rf",-17.65686,146.46512,NA,"AUS","HIGH"
1998,"Torres Strait & Great Barrier Reef","Adelaide Rf",-17.65686,146.46512,NA,"AUS","HIGH"
2002,"American Samoa","Afuli, Ta'u",-14.259,-169.501,"Less bleaching here, with only pale Montastrea curta, Pocillopora verrusosa and Porites","ASM","HIGH"
1998,"India","Agatti ",10.8333,72.2,"catastrophic","IND","HIGH"
2007,"Australia","Agincourt # 4",-16.05,145.83,"Average Hard coral: 50% Soft coral: 50%

Bleached Hard coral: % Soft coral: 0%.

Additional Notes on site, locators, buoys, benchmarks or landmarks: Pale/Fluoro Bleaching severity One acropora colony 3m wide a 9m depth pale to white with polyps extended.

 Located at back of Harry's bommie round - just past ampitheatre","AUS","HIGH"
2007,"Australia","Agincourt #3",-15.99,145.83,"verage Hard coral: 50% Soft coral: 50%



First Observe Date: 12/14/2007

Not much change from last week again.  A Formosa paled to 2m depth. Reef flat still OK - no mortality","AUS","HIGH"
2008,"Australia","Agincourt #3",-15.99,145.83,"Average Hard coral: 50% Soft coral: 50%

Bleached Hard coral: % Soft coral: 0%



Additional Notes on site, locators, buoys, benchmarks or landmarks: Not much change from last week Acropora Formosa still paled on upper surface (up to 2m depth) No mortality yet. All else ok



Acropora Formosa <10% bleached","AUS","HIGH"
2007,"Australia","Agincourt #3",-15.99,145.83,"Average Hard coral: 50% Soft coral: 50%

Bleached Hard coral: % Soft coral: 0%



Additional Notes on site, locators, buoys, benchmarks or landmarks: Branching types bleached at 1-10% bleached only on upper surface NOTES: 3 types of Acroporra Formosa 2m2 in size at 1-2m depth are paling on the upper surface. These colonies are found in the gutters of the reef flat where the tides run in and out. 



Arcopora formosa 1-10% bleached","AUS","HIGH"
2008,"Australia","Agincourt #3",-15.99,145.82,"Additional Notes on site, locators, buoys, benchmarks or landmarks: Not much change despite recent warnings of warm water. Paling of beige stag (upper surface only) to depths of 3m. Most Stylophora colonies are paled on upper surface also. No mortality



Comments on affected species:  Acropora, Fungiidae, Seriatopora, Stylophora, Faviidaeare bleached.

Other Comments: Water temp 29 (0-3m) and 29 (5-10m) Pocillopora, Turbinaria, Montipora, Porites, Sarcophyton, Lobophytum and Sinularia present but not bleached.","AUS","HIGH"
2008,"Australia","Agincourt #3",-15.99,145.83,"Average Hard coral: 30% Soft coral: 20%

Bleached Hard coral: % Soft coral: 0%



Additional Notes on site, locators, buoys, benchmarks or landmarks: Not much change form last week A formosa still paled mainly in gutters where the warm eater runs off reef flat. Some stylophora looking paler this week - mainly on reef flat.



Comments on affected species: Acropora, Stylophora, Faviidae bleached

Other Comments: Fungiidae, Pocillopora, Seriatopora, Turbanaria, Porites, Sarcophyton, Lobophytum and Sinularia present but not bleached.","AUS","HIGH"
1994,"Torres Strait & Great Barrier Reef","Agincourt Reef No.1",-16.0504,145.8623,NA,"AUS","HIGH"
