"YEAR","COUNTRY","LOCATION","LAT","LON","REMARKS","SOURCE","CODE","SEVERITY"
2008,"France","Hermitage, Reunion",-21.22,55.22,"0% of recorded Recently killed coral on substrate is result of bleaching","Reef Check, Submitted by Harold Cambert. Site ID  55.13.17.8E.21.13.17.8S","FRA","NONE"
2008,"France","Saint Gilles, Reunion",-21.05,55.23,"0% of recorded Recently killed coral on substrate is result of bleaching","Reef Check, Submitted by Harold Cambert. Site ID : -55.13.30.26E.21.2.44.03S","FRA","NONE"
2008,"France","Saint-Leu, Reunion",-21.16,55.28,"0% of recorded Recently killed coral on substrate is result of bleaching","Reef Check, Submitted by Harold Cambert . Site ID: 55.17.05.1E.21.09.50.6S","FRA","NONE"
1999,"France","SE France",43,5,"Bleaching of Cladocora caespitosa and Oculina patagonensis.
Above all, death of gorgonians (up to >75%), sponges, also bivalves, ascidians, bryozoansAttributed to high temperature, and perhaps pathogen.  See in Perez et al., 2000, Mortalité massive d'invertébrés marins: un évenement sans précédent en Méditérranée nord-occidentale, CR Acad Sci Paris, Life Sci, 323, 853-865.","Martin Pêcheux (martin-pecheux@wanadoo.fr) personal communication to ReefBase","FRA","UNKNOWN"
2009,"Macau","Koh Tao, Surat Thani",10.12,99.81,"0% of recorded recently killed coral on substrate is result of bleaching; Coral disease was white band on one large table coral","Reef check submitted by Suchana Apple Chavanich. Site ID :  99.48.51E.10.07.06N","MAC","NONE"
2010,"Mauritania","St. Brandons, Mauritius",-16.63333,59.63333,"% live coral bleached - 7%","Report submitted by Dr. Jerker Tamelander, IUCN. 
Source of data: David Obura, Cordio","MRT","UNKNOWN"
1998,"Mexico (Pacific)","Tijera and Mazunte, Oaxaca",16,-95,"In spring and summer 1998, when the anti-El Niño event was present in the eastern Pacific, corals remained in good condition in Oaxaca, although surface temperature was noticeably lower than normal, especially in May. However, after high wind intensities and coastal upwelling caused further sea surface temperature reductions during autumn 1998, we observed widespread bleaching in the reef tract, but mortality only occurred in the two most northern reefs of the area: Tijera and Mazunte. Pocillopora was the most affected genus, although Pavona and Porites were impacted, too. In normal years, northern winds cross the Gulf of México and increase their speed when passing through the Tehuantepec Isthmus. They displace surface water and produce strong upwellings that affect an area of about 200X500 km in the Gulf of Tehuantepec.","Reyes-Bonilla, et al 2002.  Effects of the El Niño-Southern Oscillation and the anti-El Niño event (1997-1999) on coral reefs of the western coast of México.","MEX","HIGH"
2002,"Panama (Atlantic)","Cayos Zapatilla A, Archipielago de Bocas del Toro",9.2723,-82.0065,"Live stony coral cover 28%.  
23% of stony coral (>10 cm diameter) pale to completely  bleached","Coral List:30/7/2002: Marilyn Brandt","PAN","MEDIUM"
1998,"St. Croix","Buck Island, US Virgin Islands",17.79,-64.63,"bleaching","GCRMN 2000. Chapter 14","VIR","MEDIUM"
1987,"St. Croix","Cane Bay",17.684,-64.739,"23.2% of coral cover was pale, 5.8% bleached (3 minth after bleaching start)
Five of the scleractinian corals that exhibited prolonged bleaching have predominantly massive morphologies  (Colpophyllia natans, Diploria labyrinthiformis, the ""Montastraea annularis complex,"" Porites astreoides, Stephanocoenia intersepta) and three are foliaceous (the ""Agaricia agaricites complex,""  A . tenuifolia, Leptoseris cucullata [=Helioseris cucullata]) . The milleporan, M. alcicornis, is primarily an encrusting coral. Several of the rapidly growing, branching taxa (Acropora cervicornis, A . palmata,Porites porites, ""finger Porites""), which are known to have been affected by the mass bleaching event at these sites are presumed to have mostly recovered before the point-count surveys began. 
Diploria labyrinthiformis was considered a good indicator of prolonged bleaching at 8-10 m at this site","Lang, J.C., H.R. Lasker, E.H. Gladfelter, P. Hallock, W.C. Jaap, F.J. Losada and R.G. Muller, 1992.  Spatial and Temporal Variability during Periods of ""Recovery"" after Mass Bleaching on Western Atlantic Coral Reefs Amer. Zool. 32:696-706","VIR","LOW"
2001,"St. Croix","Long Reef, St Croix, US Virgin Islands",17.7,-64.9,"50% of colonies show mild bleaching","Coral Listserver","VIR","LOW"
2011,"St. Helena","Tuo village",-10.267,166.279,NA,"Reef Check submitted by Noelle van der Straaten","SHN","NONE"
1998,"St. Johnson & Thomas","Caret Bay Reef, St Thomas, US Virgin Islands",18.35,-65,"Moderate bleaching;m41% bleaching","GCRMN 2000. Chapter 14","VIR","MEDIUM"
1998,"St. Johnson & Thomas","Lameshur Reef, St Johns, US Virgin Islands",18.3,-64.7,"Moderate bleaching; 47% bleaching","GCRMN 2000. Chapter 14","VIR","MEDIUM"
1998,"St. Johnson & Thomas","Newfound Reef, St Johns, US Virgin Islands",18.31,-64.77,"Moderate bleaching; 43% bleaching","GCRMN 2000. Chapter 14","VIR","MEDIUM"
1998,"St. Johnson & Thomas","Saba Island, ST Thomas, US Virgin Islands",18.35,-65,"Moderate bleaching","GCRMN 2000. Chapter 14","VIR","MEDIUM"
1998,"United Kingdom","Blenheim Bank",-5.25,72.47,">70%","Sheppard,CRC","GBR","HIGH"
1998,"United Kingdom","Chagos",-6.1,71.7333333333333," A 1996 survey showed that only 12% of the substrate on the seaward reefs is live coral today. Upto 40% was unidentifiable dead substrate. In 1996, an average of about 75% of the substrate was living corals and soft corals.","ReefBase and GCRMN 2002","GBR","HIGH"
1998,"United Kingdom","Egmont",-6.6635,71.3504,">70%","Sheppard,CRC","GBR","HIGH"
1998,"United Kingdom","Great Chagos Bank",-6.2348,71.9986,">70%","Sheppard,CRC","GBR","HIGH"
1998,"United Kingdom","Peros Banhos Atoll",-5.35,71.7505,">70%","Sheppard,CRC","GBR","HIGH"
1998,"United Kingdom","Salomon Atoll",-5.3484,72.2442,">70%","Sheppard,CRC","GBR","HIGH"
1998,"United Kingdom","Soufriere, Saint Lucia",13.8716,-61.0808,"100%","Wilkinson, Clive","GBR","HIGH"
2003,"Zanzibar Islands","Bawe Island",-6.246,39.166,"Acropora and Stylophora are affected (but present in
low percentages in most areas) whilst more massive
colonies (Porites) are also showing signs of stress
and bleaching.
Many species have paled or bleached to the extent of showing underlying shades of pink/purple (Pocillopora, Montipora), green/yellow (Hydnophora, Echinopora, Pocillopora) and other colours that might be indicative of fluorescent colours, rather than bleaching a full white.","Oliver Taylor, Ecological Consultant, Institute of Marine Science, Zanzibar
Coral-list@coral.aoml.noaa.gov 4/21/2003 and
David Obura Coral-list@coral.aoml.noaa.gov 5/8/2003","ZAN","LOW"
2003,"Zanzibar Islands","Changu",-6.426,39.346,"Acropora and Stylophora are affected (but present in
low percentages in most areas) whilst more massive
colonies (Porites) are also showing signs of stress
and bleaching.
Many species have paled or bleached to the extent of showing underlying shades of pink/purple (Pocillopora, Montipora), green/yellow (Hydnophora, Echinopora, Pocillopora) and other colours that might be indicative of fluorescent colours, rather than bleaching a full white.","Oliver Taylor, Ecological Consultant, Institute of Marine Science, Zanzibar
Coral-list@coral.aoml.noaa.gov 4/21/2003 and
David Obura Coral-list@coral.aoml.noaa.gov 5/8/2003","ZAN","LOW"
2003,"Zanzibar Islands","Chumbe Island Marine Park",-6.271,39.175,"Acropora and Stylophora are affected (but present in
low percentages in most areas) whilst more massive
colonies (Porites) are also showing signs of stress
and bleaching.
Many species have paled or bleached to the extent of showing underlying shades of pink/purple (Pocillopora, Montipora), green/yellow (Hydnophora, Echinopora, Pocillopora) and other colours that might be indicative of fluorescent colours, rather than bleaching a full white.","Oliver Taylor, Ecological Consultant, Institute of Marine Science, Zanzibar
Coral-list@coral.aoml.noaa.gov 4/21/2003 and
David Obura Coral-list@coral.aoml.noaa.gov 5/8/2003","ZAN","LOW"
2003,"Zanzibar Islands","Kizimkizi",-6.2742,39.2848,"Acropora and Stylophora are affected (but present in
low percentages in most areas) whilst more massive
colonies (Porites) are also showing signs of stress
and bleaching.
Many species have paled or bleached to the extent of showing underlying shades of pink/purple (Pocillopora, Montipora), green/yellow (Hydnophora, Echinopora, Pocillopora) and other colours that might be indicative of fluorescent colours, rather than bleaching a full white.","Oliver Taylor, Ecological Consultant, Institute of Marine Science, Zanzibar
Coral-list@coral.aoml.noaa.gov 4/21/2003 and
David Obura Coral-list@coral.aoml.noaa.gov 5/8/2003","ZAN","LOW"
1998,"Kenya","Diani",-4.25,39.6166666666667," Extent Unspecified","ReefBase","KEN","UNKNOWN"
1987,"Kenya","Kenya",-3.36666666666667,40.4833333333333," Extent Unspecified","ReefBase","KEN","UNKNOWN"
1998,"Kenya","Kenya",-3.36666666666667,40.4833333333333," Bleaching and mortality were highest in shallow habitats and pools, where water stagnation occurs, or where corals are regularly exposed to outflow of shallow (warm) lagoon waters and/or to mangrove and sediment influence.","ReefBase","KEN","HIGH"
2005,"Kenya","Kijembe Reef, Mombasa",-4.073,39.69,"There is currently a mild coral bleaching event occurring on reefs adjacent to Mombasa, Kenya. My observations come from Kijembe Reef (a lagoonal patch reef), just north of the coastal town of Mombasa. NOAA satellite monitoring currently shows the accumulated thermal stress in the
waters around Kenya and Tanzania to be 3 DHW.
<br>
Pocillopora is the main group to be affected (P. eydouxi, P. verrucosa and
P. damicornis) with normal, pale and fully bleached colonies observed. Other
genera showing pale tissue include Porites, Platygyra, Echinopora, Galaxea,
Goniopora, Astreopora, Montipora and Hydnophora (one individual only).
Acropora species at the site are all normal, and have only been affected by
crown-of-thorns starfish which are present in elevated numbers at the site.
<br>No colonies appeared to have died from bleaching to date.
The SE monsoon winds, high cloud cover and rains we have been experiencing should help to reduce bleaching stress.","Sangeeta Mangubhai [smangubhai@africaonline.co.ke] in coral list 26/4/2005","KEN","LOW"
2010,"Kenya","Kisite",-4.716667,39.366667,"15 genera affected by bleaching; Among the dominant genera; Acropora, Porites Bra, Galexea astreata, Astreopora, Favites, Goniastrea, Hydnophora were most affected in a decreasing order of magnitudewhile the rare genera, Stylophora, Fungia and pocillopora were the most affected.
Bleaching response varied across genera and species with branching ones being the most affected.
Previously , coral bleaching was observed in this area","Report submitted by Dr. Jerker Tamelander, Manager - Oceans and Climate Change, IUCN Global Marine and Polar Programme. Observer :Jelvas Mwaura, Juliet Karisa (	jmwaura@kmfri.co.ke, jkarisa@kmfri.co.ke)","KEN","HIGH"
2003,"Kenya","Kiunga",-1.986,41.383,"Paling of coral colonies was first observed in Kiunga during monitoring prior to March 24, however it was so mild that it was not specially noted.  From April 4 in Kiunga, bleaching was first observed and reported widely.  Following that, pale, partially bleached and some fully bleached corals were reported widely throughout Kenya. 
Bleaching is mild to moderate rather than severe; colonies are paling, and all shades of colour from normal to white are observed. In Kenya, most paling and bleaching is on upper surfaces, and the coincidence of high temperatures, calm conditions and spring low tides just prior to bleaching suggest combined effects of these factors rather than an overwhelming dominance of one.
The spatial extent of paling and bleaching amounts to perhaps 10-20% of coral cover and 5-25% or colonies, with most observations made in shallow inner-reef zones (water depth of 0.3-1m at MLW).  
Most detail on taxonomic incidence of bleaching has come from reports in Kenya, where the most affected genus is Pocillopora, where locally close to 100% of colonies have been observed bleached, and some colonies observed with dead patches (primarily around the branch tips). Interestingly, P. damicornis is less affected than other species, and in one shallow reef flat area is unaffected. After Pocillopora, the most strongly affected genera include Porites, Echinopora, Galaxea and partially affected genera include Platygyra, Acropora, Montipora, various faviids and fungiids, Pavona.","David Obura 
Coral-list@coral.aoml.noaa.gov 5/8/2003","KEN","LOW"
