"YEAR","COUNTRY","LOCATION","LAT","LON","REMARKS","SOURCE","CODE","SEVERITY"
1987,"St. Croix","Cane Bay",17.684,-64.739,"23.2% of coral cover was pale, 5.8% bleached (3 minth after bleaching start)
Five of the scleractinian corals that exhibited prolonged bleaching have predominantly massive morphologies  (Colpophyllia natans, Diploria labyrinthiformis, the ""Montastraea annularis complex,"" Porites astreoides, Stephanocoenia intersepta) and three are foliaceous (the ""Agaricia agaricites complex,""  A . tenuifolia, Leptoseris cucullata [=Helioseris cucullata]) . The milleporan, M. alcicornis, is primarily an encrusting coral. Several of the rapidly growing, branching taxa (Acropora cervicornis, A . palmata,Porites porites, ""finger Porites""), which are known to have been affected by the mass bleaching event at these sites are presumed to have mostly recovered before the point-count surveys began. 
Diploria labyrinthiformis was considered a good indicator of prolonged bleaching at 8-10 m at this site","Lang, J.C., H.R. Lasker, E.H. Gladfelter, P. Hallock, W.C. Jaap, F.J. Losada and R.G. Muller, 1992.  Spatial and Temporal Variability during Periods of ""Recovery"" after Mass Bleaching on Western Atlantic Coral Reefs Amer. Zool. 32:696-706","VIR","LOW"
1987,"Kenya","Kenya",-3.36666666666667,40.4833333333333," Extent Unspecified","ReefBase","KEN","UNKNOWN"
1983,"Comoros","Mayotte Island",-12.8333333333333,45.2166666666667," ","ReefBase","COM","HIGH"
1986,"Comoros","Mayotte Island",-12.8333333333333,45.2166666666667,"In May 1986, massive coral reef bleaching and high mortalities occurred on the coral reefs of Mayotte Island (Mozambique Channel) which closely resembled the event there in 1983 (pers comm Thomassin). ","ReefBase","COM","HIGH"
1983,"Comoros","Mayotte Island",-12.8333333333333,45.2166666666667," ","ReefBase","COM","MEDIUM"
1989,"Mauritius","Mauritius",-20.28,57.55,"When bleaching start in 	Spring1989, J. Muller, (pers. Com) reported in  Nov. 1989, there were dead corals (mainy Acropora palmata), mainly turf algae on corals top, and foraminifer malformations.","Martin Pêcheux (martin-pecheux@wanadoo.fr) personal communication to ReefBase","MUS","UNKNOWN"
1988,"Réunion","Reunion",-21.1166666666667,55.5," Extent Unspecified","ReefBase","REU","UNKNOWN"
1986,"Barbados","Barbados",13.0391,-59.5231,"A 2m high, 3m diameter colony of Dendrogyra cylindratus was completely bleached on the bank reef off Barbados in mid-July 1986.  A week later it began to turn brown around the base, 2 weeks alter about 25% of the colony had recovered, in 3 weeks the entir","ReefBase","BRB","MEDIUM"
1987,"Netherlands Antilles","Bonaire",12.1833333333333,-68.3," ","ReefBase","ANT","HIGH"
1979,"Netherlands Antilles","Bonaire",12.1833333333333,-68.3,"In June 1979, an extensive and long-term bleaching event began in Bonaire.  It developed progressively and became most extensive and intense in September and October, 1979.  The event ended in February 1980.  Bleaching occurred on all but the windward coa","ReefBase","ANT","MEDIUM"
1987,"Netherlands Antilles","Curacao ( Curaçao )",12.1,-68.9666666666667," Partial mortalities.","ReefBase","ANT","LOW"
1987,"Netherlands Antilles","Spaanse Water ( Spanish Water )",12.05,-68.8666666666667,"Extent Unspecified; First major bleaching occurred during the regional event of 1987 (Williams and Williams 1987).","ReefBase","ANT","UNKNOWN"
1987,"St. Lucia","St. Lucia",13.8333333333333,-61," Extent Unspecified","ReefBase","LCA","UNKNOWN"
1987,"Trinidad and Tobago","Tobago",11.2666666666667,-60.65,"Extent Unspecified","ReefBase","TTO","UNKNOWN"
1979,"Virgin Islands (British)","Anegada",18.7333333333333,-64.3166666666667,"Actual cause of bleaching is not known. Partial mortality","ReefBase","VBG","LOW"
1979,"Virgin Islands (British)","British Virgin Islands",18.5,-64.5," Extent Unspecified","ReefBase","VBG","UNKNOWN"
