"YEAR","COUNTRY","LOCATION","LAT","LON","REMARKS","SOURCE","CODE","SEVERITY"
1999,"France","SE France",43,5,"Bleaching of Cladocora caespitosa and Oculina patagonensis.
Above all, death of gorgonians (up to >75%), sponges, also bivalves, ascidians, bryozoansAttributed to high temperature, and perhaps pathogen.  See in Perez et al., 2000, Mortalité massive d'invertébrés marins: un évenement sans précédent en Méditérranée nord-occidentale, CR Acad Sci Paris, Life Sci, 323, 853-865.","Martin Pêcheux (martin-pecheux@wanadoo.fr) personal communication to ReefBase","FRA","UNKNOWN"
1998,"Mexico (Pacific)","Tijera and Mazunte, Oaxaca",16,-95,"In spring and summer 1998, when the anti-El Niño event was present in the eastern Pacific, corals remained in good condition in Oaxaca, although surface temperature was noticeably lower than normal, especially in May. However, after high wind intensities and coastal upwelling caused further sea surface temperature reductions during autumn 1998, we observed widespread bleaching in the reef tract, but mortality only occurred in the two most northern reefs of the area: Tijera and Mazunte. Pocillopora was the most affected genus, although Pavona and Porites were impacted, too. In normal years, northern winds cross the Gulf of México and increase their speed when passing through the Tehuantepec Isthmus. They displace surface water and produce strong upwellings that affect an area of about 200X500 km in the Gulf of Tehuantepec.","Reyes-Bonilla, et al 2002.  Effects of the El Niño-Southern Oscillation and the anti-El Niño event (1997-1999) on coral reefs of the western coast of México.","MEX","HIGH"
1998,"St. Croix","Buck Island, US Virgin Islands",17.79,-64.63,"bleaching","GCRMN 2000. Chapter 14","VIR","MEDIUM"
1998,"St. Johnson & Thomas","Caret Bay Reef, St Thomas, US Virgin Islands",18.35,-65,"Moderate bleaching;m41% bleaching","GCRMN 2000. Chapter 14","VIR","MEDIUM"
1998,"St. Johnson & Thomas","Lameshur Reef, St Johns, US Virgin Islands",18.3,-64.7,"Moderate bleaching; 47% bleaching","GCRMN 2000. Chapter 14","VIR","MEDIUM"
1998,"St. Johnson & Thomas","Newfound Reef, St Johns, US Virgin Islands",18.31,-64.77,"Moderate bleaching; 43% bleaching","GCRMN 2000. Chapter 14","VIR","MEDIUM"
1998,"St. Johnson & Thomas","Saba Island, ST Thomas, US Virgin Islands",18.35,-65,"Moderate bleaching","GCRMN 2000. Chapter 14","VIR","MEDIUM"
1998,"United Kingdom","Blenheim Bank",-5.25,72.47,">70%","Sheppard,CRC","GBR","HIGH"
1998,"United Kingdom","Chagos",-6.1,71.7333333333333," A 1996 survey showed that only 12% of the substrate on the seaward reefs is live coral today. Upto 40% was unidentifiable dead substrate. In 1996, an average of about 75% of the substrate was living corals and soft corals.","ReefBase and GCRMN 2002","GBR","HIGH"
1998,"United Kingdom","Egmont",-6.6635,71.3504,">70%","Sheppard,CRC","GBR","HIGH"
